[2024-09-18 23:50:55,022][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-18 23:50:55,023][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-18 23:50:55,023][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-18 23:50:55,024][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-18 23:50:55,027][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-18 23:50:55,035][hydra.utils][INFO] - found checkpoint: /data/user2/wty/HOF/MOFDiff/mofdiff/data/mof_models/bb/bwdb_bb/last.ckpt
[2024-09-18 23:50:55,035][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-18 23:50:55,220][hydra.utils][INFO] - Starting training!
[2024-09-18 23:58:35,745][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-18 23:58:39,852][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-18 23:58:39,885][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpoma61gzf
[2024-09-18 23:58:39,885][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpoma61gzf/_remote_module_non_scriptable.py
[2024-09-18 23:58:41,188][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-18 23:58:41,189][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-18 23:58:41,189][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-18 23:58:41,190][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-18 23:58:41,192][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-18 23:58:41,201][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-18 23:58:41,420][hydra.utils][INFO] - Starting training!
[2024-09-19 00:02:24,953][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-19 00:02:28,958][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-19 00:02:29,002][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpxhwo8ic8
[2024-09-19 00:02:29,002][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpxhwo8ic8/_remote_module_non_scriptable.py
[2024-09-19 00:02:30,375][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-19 00:02:30,376][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-19 00:02:30,376][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-19 00:02:30,377][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-19 00:02:30,379][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-19 00:02:30,387][hydra.utils][INFO] - found checkpoint: /data/user2/wty/HOF/MOFDiff/mofdiff/data/mof_models/bb/bwdb_bb/last.ckpt
[2024-09-19 00:02:30,387][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-19 00:02:30,594][hydra.utils][INFO] - Starting training!
[2024-09-20 13:58:07,676][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-20 13:58:12,350][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-20 13:58:12,403][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmppgaj74_5
[2024-09-20 13:58:12,403][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmppgaj74_5/_remote_module_non_scriptable.py
[2024-09-20 13:58:14,156][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-20 13:58:14,157][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-20 13:58:14,157][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-20 13:58:14,159][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
